Itr: 170, Loss: 0.030311070382595062, L_s: 0.030310653150081635, L_vlb: 0.0004169189487583935
Itr: 171, Loss: 0.046212680637836456, L_s: 0.046209704130887985, L_vlb: 0.002975206822156906
Itr: 172, Loss: 0.06727804988622665, L_s: 0.06726043671369553, L_vlb: 0.017611172050237656
Itr: 173, Loss: 0.014120152220129967, L_s: 0.014120041392743587, L_vlb: 0.00011054479546146467
Itr: 174, Loss: 0.017130136489868164, L_s: 0.017130015417933464, L_vlb: 0.00012020340363960713
Itr: 175, Loss: 0.024281952530145645, L_s: 0.024281775578856468, L_vlb: 0.00017660392040852457
Itr: 176, Loss: 0.04551234468817711, L_s: 0.04551135003566742, L_vlb: 0.0009945548372343183
Itr: 177, Loss: 0.030871666967868805, L_s: 0.030871350318193436, L_vlb: 0.00031633369508199394
Itr: 178, Loss: 0.02899220958352089, L_s: 0.0289919450879097, L_vlb: 0.00026434060418978333
Itr: 179, Loss: 0.013535568490624428, L_s: 0.01353548839688301, L_vlb: 7.963457028381526e-05
Itr: 180, Loss: 0.013676943257451057, L_s: 0.013676783069968224, L_vlb: 0.00016028857498895377
Itr: 181, Loss: 0.03765729069709778, L_s: 0.0376565083861351, L_vlb: 0.0007804869674146175
Itr: 182, Loss: 0.020284436643123627, L_s: 0.020284254103899002, L_vlb: 0.00018283675308339298
Itr: 183, Loss: 0.03469252586364746, L_s: 0.03469214588403702, L_vlb: 0.0003788600442931056
Itr: 184, Loss: 0.01012825034558773, L_s: 0.01012817956507206, L_vlb: 7.06193532096222e-05
Itr: 185, Loss: 0.031787727028131485, L_s: 0.03178742155432701, L_vlb: 0.0003042267053388059
Itr: 186, Loss: 0.014172069728374481, L_s: 0.014171978458762169, L_vlb: 9.100658644456416e-05
Itr: 187, Loss: 0.046034544706344604, L_s: 0.04603375121951103, L_vlb: 0.0007948311395011842
Itr: 188, Loss: 0.033366307616233826, L_s: 0.03336593508720398, L_vlb: 0.00037344556767493486
Itr: 189, Loss: 0.055231478065252304, L_s: 0.05523070693016052, L_vlb: 0.0007708729826845229
Itr: 190, Loss: 0.014082254841923714, L_s: 0.014082111418247223, L_vlb: 0.0001431874989066273
Itr: 191, Loss: 0.0333651639521122, L_s: 0.03336424380540848, L_vlb: 0.0009199446649290621
Itr: 192, Loss: 0.08641398698091507, L_s: 0.08641140162944794, L_vlb: 0.00258785393089056
Itr: 193, Loss: 0.05358898267149925, L_s: 0.053588367998600006, L_vlb: 0.0006133430288173258
Itr: 194, Loss: 0.022519560530781746, L_s: 0.022519191727042198, L_vlb: 0.00036791464663110673
Itr: 195, Loss: 0.016897469758987427, L_s: 0.016897380352020264, L_vlb: 8.920609252527356e-05
Itr: 196, Loss: 0.00774281844496727, L_s: 0.007742773275822401, L_vlb: 4.5229979150462896e-05
Itr: 197, Loss: 0.11562856286764145, L_s: 0.1155097484588623, L_vlb: 0.11881429702043533
Itr: 198, Loss: 0.03728974238038063, L_s: 0.037289105355739594, L_vlb: 0.0006361656123772264
Itr: 199, Loss: 0.03685397654771805, L_s: 0.03685344383120537, L_vlb: 0.000533919082954526
Itr: 200, Loss: 0.006913460325449705, L_s: 0.006913413759320974, L_vlb: 4.672115028370172e-05
Itr: 201, Loss: 0.035181667655706406, L_s: 0.03518129140138626, L_vlb: 0.00037761221756227314
